Min,Max,Avg,Std Dev
118,82797,40583,23447.58582142307
283,82492,40687,23200.145025710506
285,87559,41979,24141.779957285667
143,84391,41589,23851.496974655493
64,87299,42208,24336.354565752037
52,84023,42075,24092.34802218331
80,85631,41779,24174.723233720797
148,85585,42194,24481.89066152776
283,88941,42247,24795.96028025533
13,84308,40547,23709.858936463537
188,83588,40411,23697.803852656896
234,82231,40877,23543.682495523084
44,81674,40033,23615.795671435677
72,85013,40668,23772.41470719792
217,81806,40607,23292.0073745695
49,86289,42115,24457.150468421296
377,83275,41111,23988.14908560058
49,85496,42630,24563.171516968243
75,84003,40036,23496.391356631768
159,83710,41453,23475.925352773636
24,83628,40979,23892.37355364678
252,83312,41335,23852.38405908307
217,86413,42483,24397.779201476515
9,83438,41575,24032.44357800513
96,79419,39879,22746.797338966204
203,81372,40266,23230.412951366146
131,83955,40965,23426.103053303596
23,85093,42021,24085.014353846665
230,83697,41768,24372.726723450538
80,86541,41537,23926.25213062004
150,85815,42072,24512.09837867823
246,83835,41465,24085.640120515793
68,86473,42790,24532.040351894906
55,85556,41570,24536.820896420137
180,83692,41777,23807.056226148583
15,85064,41534,24426.83282085502
229,87557,41524,24553.223310229558
68,88309,42302,24944.61881845461
357,84635,42486,24170.12828962643
120,80355,38900,22681.729289386203
64,84157,40990,23877.25388969594
324,85549,42030,24118.860865161107
6,87157,42987,24736.774056149683
369,86582,40144,23070.195976779218
134,87181,41202,24070.33880611156
293,84754,42882,24253.033085492625
82,89147,41825,24929.2245975281
272,89300,43553,24921.136146712895
167,88666,42217,24742.941623339775
323,85735,41280,24091.540108988465
17,82848,41254,23787.532695342743
103,84504,42542,24224.051936288444
148,86269,41631,23601.146026093735
141,84750,41035,24016.558227127385
115,86090,42210,24403.508878888708
11,83779,41427,23577.160670509074
222,89213,41606,23988.113320163386
201,82594,41101,23546.511240372747
52,85330,41387,23767.902055292976
23,87659,43263,24523.842382709932
34,88170,42107,24622.033937248158
244,84327,41400,24014.45134216062
135,83302,41233,23704.00427731568
117,84383,40617,23350.507718441582
6,86563,43099,24764.875504512434
90,86437,42333,24474.653556649173
53,90711,40951,24061.658305029603
90,82799,40916,23448.19893403329
147,84318,41649,24105.91987408902
135,88344,41067,24069.19485371291
19,87525,41347,24315.193355862913
160,86185,43278,24224.467111414444
290,84785,41346,23831.464670808633
330,82588,41059,22851.643536691186
33,84036,40750,23573.42501801552
28,86118,42469,24219.13240407261
54,83338,41554,23674.845079429768
41,83649,40019,23730.902402121163
221,82462,41833,23529.864346995288
224,85815,41372,23898.335111174583
279,86014,41453,23925.96396041338
14,85940,42580,24359.971998177665
14,86753,41881,24487.458029325953
97,84899,42122,24483.831427781068
20,81580,40232,23737.416952714128
141,87188,42130,24374.53221108048
135,87667,41757,24689.541879913446
115,84133,41144,23339.972853476072
15,84190,41043,24417.272948611604
49,83607,41041,23980.787191041083
91,87672,42465,24661.413258388093
23,88179,41263,24120.12745057538
69,87543,41435,24217.37958477341
84,84651,41666,23710.455479155182
20,83321,41047,24042.21257064333
184,85177,41495,24782.957676859314
141,86840,42177,24282.687080860716
180,80313,39282,22550.34702540074
143,89015,42296,24186.64203865431
10,84416,40948,23835.226858496648
