Min,Max,Avg,Std Dev
5,84197,28028,25127.636758855777
4,83470,27975,24957.72719552003
3,83928,27757,25063.42895144238
3,82886,27620,24597.843350180112
1,82027,27167,24442.451740711283
1,82875,27254,24708.612710389065
3,85008,28339,25378.39556971638
5,87049,29402,26093.21987064839
1,84834,28328,25290.072993745987
4,83164,27646,24883.482682815924
1,83120,27470,24953.367985163844
3,83335,27664,24819.371797751046
2,82967,27428,24917.435490354943
5,82634,27383,24637.16921620664
2,83680,27473,25074.35944854823
3,83340,27675,24920.33986449623
2,81841,27066,24311.53904143051
4,82778,27501,24644.52548129097
3,80520,26153,24084.28250392774
4,81064,26535,24164.195555325237
1,85006,28567,25674.129286579515
6,84104,28002,25059.010549500952
2,82317,26904,24490.690127760794
5,82509,27000,24626.65646134286
5,84092,28376,25095.545297821285
4,84302,28275,25113.20254947584
3,83665,27894,25017.385847126392
5,81351,26600,24182.85339847223
5,79634,25421,23594.463570549768
3,83501,27643,24962.129810915576
4,82424,27156,24571.098781027275
4,85740,28586,25599.68433961638
3,85657,28558,25600.215363312866
2,84553,27626,25395.716660748127
3,82918,27181,24786.029999215283
5,83752,28036,25041.8744915192
6,84424,28386,25320.329995993336
6,83763,27919,24930.9399106211
5,84134,28090,25235.561267921108
1,84033,28248,25098.939024329295
3,84672,28427,25230.752215104487
3,83763,27740,24996.178311733976
5,83498,28116,24824.76342680832
3,82744,27407,24770.90604543968
1,83733,27946,24881.32463525606
5,83217,27547,24817.224448958834
4,83450,28242,24873.55204541563
4,83779,27477,24993.603259554235
1,83150,27551,25017.67272637485
5,83236,27625,24889.64917263801
4,85001,28665,25353.008839307415
3,81901,26901,24517.849051925416
2,83060,27627,24901.11493782959
3,81463,26351,24250.123553726484
1,85295,28683,25539.091197201986
6,85466,28919,25459.961551738448
2,84874,28594,25281.026269279497
2,84118,27738,25161.663267399475
4,83973,27693,25094.57719853036
6,82791,27357,24577.715956268188
6,82088,27280,24463.441252489396
2,85108,28375,25448.23541739191
5,85874,28852,25903.963352892544
1,84201,28177,25088.623009942174
2,83623,27523,24932.017472980402
2,84099,27785,25072.483559232816
2,83166,27700,24778.215772306932
3,84998,28409,25539.028346630574
2,83101,27422,24795.984176999307
5,84277,28068,25331.287834869352
3,82689,27196,24634.809086351775
2,85272,28476,25339.693068287153
2,81323,26759,24282.634831706382
3,82374,27354,24558.177631860228
3,83309,27256,24850.999884712888
5,80540,26677,23980.687982395335
3,82652,27309,24790.058778328865
1,84042,27862,25121.943846207443
3,82684,27268,24609.36396329657
4,84371,28055,25340.442633229595
4,81028,26303,24143.053985898307
2,83642,27753,24946.87568273831
2,80990,26978,24210.401139138525
4,85879,29050,25753.3469087612
6,83607,27795,24874.451580446956
4,85978,29115,25810.802654547573
9,84269,28270,25156.361030085412
1,85807,28967,25734.323223566615
3,82640,27299,24651.79457603442
2,82915,27236,24689.722897877975
1,82473,27390,24704.092221715007
1,85041,28382,25438.633579832862
1,86113,28960,25770.710811830548
2,80708,26588,24111.539730096043
1,83344,27573,25008.23174990587
1,86449,29548,25987.995785823885
1,84634,28438,25168.691238997708
3,81957,27081,24203.28502408299
3,80581,26411,24167.716686687636
3,81217,26737,24231.833286856363
